,report_text,Bioagressor,Disease,hazard_list,source_name
11,"ches. Les opérations d ’éclair- cissage manuel sont l ’occa- sion d’observer, notamment le haut des arbres. Dans les parcelles où des taches sont repérées, des contam inations secondaires sont possibles, à partir des taches présentes sur feuilles et/ou sur fruits. Dans ces si- tuations, le risque tavelure perdure. — N ° Page 2 Chancres Observations Evolution du risque De nombreux sympt ômes sont observés dans les par- celles sensibles. On constate un flétrissement des pousses et le dessèchement de ra- meaux. Dans les situations difficiles, cette extension des symptômes est préoccupante. Les averses et pluies locale- ment orageuses annoncés par Météo France peuvent à nouveau favoriser des conta- m inations. Feu bactérien Le feu bactérien Erwinia amy- lovora est une maladie bacté- rienne dangereuse qui affecte les arbres fruitiers à pépins et des malo ïdés d'ornement (aubép ine , co tonéas te r .. . ) . C'est sur le Poirier, son h ôte principal, que les attaques sont les plus fréquemment graves. Observations les températures des derniè- res semaines n’ont pas per- m is l’expression de la bacté- rie. Aucun foyer signalé, mê- me à proxim ité d’anciens foyers suivis. Evolution du risque Les orages et la grêle sont favorables aux contam ina- tions et au développement de la",0,1,#flétrissement #chancre #erwinia #tavelure ,bsv_arboriculture_20120618_17__cle0655c2
13,"des infestations, les populations peuvent aug- menter très rapidement. Veil- ler à préserver les phytoséï- des. Le contr ôle en végétation doit se faire sur un échantillonna- ge de 100 jeunes feuilles. Le seuil de nuisibilité est atteint si une feuille sur deux est oc- cupée par au moins une for- me mobile. Tenir compte de la présence d ’auxiliaires. — N ° Page 3 Puceron cendré Observations Une recrudescence des puce- rons cendrés est constatée, ma lgré des intervent ions aphicides, qui n’ont pu attein- dre les colonies protégées dans les feuilles enroulées. De nouveaux dégâts sur les jeunes pousses en croissan- Puceron lanigère Observations Les pucerons lanigères colo- nisent les arbres, au niveau des coupes et sur les jeunes pousses. L ’évolution est lente (températures) mais générali- sée ’ensemble des varié- dernière, annonçant leur m i-",1,0,#puceron ,bsv_arboriculture_20120618_17__cle0655c2
15,"cas de pullula- tion. Il faut éviter que la pro- duction de m iellat et la forma- tion de fumagine ne dépré- cient les fruits. — N ° Page 4 Carpocapse Observations Les captures enregistrées sont à la baisse. Quelques piqûres de carpocapse sont observées sur fruits. La larve au stade baladeur (les 2 jours suivant l ’éclosion) occasionne de légères morsures en sur- face avant de pénétrer dans le fruit, au point de contact entre deux fruits. Evolution du risque Selon le modèle Carpopom- me2, nous sommes en pério- de à risque concernant le dépôt d ’ œufs et les éclosions. Les femelles pondent au cré- puscule, sur feuillage sec, si les températures crépusculai- res sont supérieures à 15 °C. Les conditions des dernières semaines, avec les averses fréquentes, ont pu lim iter les pontes. Les éclosions constituent une période à risque pen- dant laquelle les dég âts peuvent appara ître rapide- ment. Un contr ôle visuel régulier des fruits doit permettre de déceler les prem ières péné- trations. L ’observation doit se faire sur un échantillonnage suffisant (1000 fruits par par- celle) pour être représentatif, en surveillant particulière- ment les arbres de bordures, les bouquets de fruits et le haut des arbres. Penser",1,0,#carpocapse ,bsv_arboriculture_20120618_17__cle0655c2
16,"à la m ise en place des bandes pièges sur les troncs. Ces bandes pièges permettront d’évaluer les po- pulations pour l ’année pro- chaine. — N ° Page 5 Autres tordeuses Observations Les prises de Podana pro- gressent. Les captures de Pandemis, variables selon les parcelles, chutent. lle ’ to rdeuse de La (Cacoecimorpha pronubana) est toujours piégée. On note un pic de tordeuse orientale du pêcher (Cydia molesta).",1,0,#tordeuse ,bsv_arboriculture_20120618_17__cle0655c2
18,La destruction des prédateurs restent une,0,0,,bsv_arboriculture_20120618_17__cle0655c2
19,"des causes de la pullulation du psylle du poi- rier. Les populations d’auxiliaires peuvent réguler les popula- tions des psylles, à l’excep- tion des trop fortes infesta- tions. Les dép ôts d ’ œufs et éclo- sions se poursuivent. A cette période de l’année, le seuil généralement adm is est de 10 à 20 % de pousses oc- cupées par des jeunes larves. Il peut être porté à 30 % en présence de punaise prédatri- ces (Anthocoris et Orius). Si vous souhaitez recevoir le BSV ARBORICULTURE FRUITIERE directement par mail, il vous suffit de vous inscrire sur le site web de la Chambre régionale d’agriculture :  Directeur de publication : Jean-Loïc LANDREIN - Président du Comité régional de surveillance biologique du territoire. Rédacteur : Stéphane LAMARCHE - FREDON PDL - stephane.lamarche@fredonpdl.fr Observateurs : Arboconseil, Arbogetec, Cabinet Fruit Conseil, Fruits du Loir, GDAF 44, Maine Anjou Tourraine, Mauges Loire Fruit, Pomanjou, Reinette Fruitière, SCAFLA, Vergers d'Anjou,",1,0,#psylle ,bsv_arboriculture_20120618_17__cle0655c2
20,"CA 85, FREDON PDL, Lycée de Pouillé, U.E.Horti - INRA, SRAL-DRAAF PDL, Certis, Syngenta agro, CAPL, NEHO, Ets Ceneray, Ets Ripert, et les producteurs. Ce bulletin est produit à partir d’observations ponctuelles. S’il",0,0,,bsv_arboriculture_20120618_17__cle0655c2
21,"donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CRAPL dégage donc toute responsabilité quant aux déci- sions prises par les producteurs pour la protection de leurs vergers et les invite à prendre ces décisions sur la base des observations qu’ils auront réalisées sur leurs parcelles. Action pilotée par le ministère chargé de l ’Agriculture, avec l ’appui financier de l ’Office national ’eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018.",0,0,,bsv_arboriculture_20120618_17__cle0655c2
22," N° 27 BSV Céréales à paille N° OO O léag ineux du 11/05/2011 au 17/05/2011 TOURNESOL Les observations permettant la rédaction de ce BSV Tournesol ont été réalisées sur 15 parcelles. Dans le réseau BSV Tournesol, tous les stades sont représentés de A2 à B13 -14. Les conditions climatiques actuelles sont favorables à une croissance active. Le déficit hydrique de certaines parcelles peut cependant freiner cette croissance. Stade A0 A1 A2 B1-B2 B3-B4 B5 B6 B7 B8 B9 B10 B11-12 B13-14 % de parcelle 0% 0% 7% 7% 13% 20% 13% 7% 13% 7% 0% 7% 7% Quelques parcelles ne sont pas encore levées. ’ Près de 80 % des parcelles du réseau ont dépassé le seuil de 10 % de plantes avec crispation. Les conditions climatiques actuelles sont favorables au développement des pucerons. La présence d’auxiliaires est signalée dans les cultures mais ils ne semblent pas pour l ’instant limiter le développement des colonies de pucerons verts. Les parcelles les plus précoces du réseau devraient prochainement sortir de la période de risque. Bulletin Tournesol rédigé par le CETIOM en collaboration avec la Chambre d’Agriculture de l’Indre-et-Loire à partir des observations réalisées cette semaine par :",1,0,#puceron ,BSV_Grandes_Cultures_Oleagineux_n_o27_20110517_JC_cle889882
24,par les agriculte urs pour la protection de leurs cultures. BS léa g in eux - N° 27 Puceron vert du prunier - % de plantes avec crispations des feuilles 13/4 au 19/4 20/4 au 26/4 27/4 au 3/5 4/5 au 10/5 11/5 au 17/5 % 100% 90% 80% 70% 60% 50% 40% 30% 20% 10% 0% < 10 10 à 20 20 à 40 40 à 60 60 à 80 80 à 100 % de plantes avec crispastions Cette crispation est une réaction de la plante à la présence du puceron. Il existe des différences variétales par rapport à la crispation des feuilles. La crispation des feuil les entraine à la fo is une moindre activité photosynthétique et une augmentation du risque sclérotinia du bouton (rétention d’humidité favorable à la germination des spores). De la levée à la formation du bouton floral. Plus de 10 % des plantes avec des symptômes marqués de crispation. ’ L’absence de pluie n’est pas favorable ’évolution du champignon sur les 16 stations météorologiques retenues dans le modèle Asphodel mis en œuvre pour la FREDON Centre. Le modèle simule dans un premier temps l’atteinte du seuil,1,0,#puceron vert du prunier #puceron #puceron vert ,BSV_Grandes_Cultures_Oleagineux_n_o27_20110517_JC_cle889882
25,"de 50 % de maturation des spores du champignon. Le seuil 50 % n’est toujours pas atteint. Tant que le seuil de 50 % n’est pas atteint, le risque d’émission de spores est quasiment nul. Directeur de publication : Jean-Pierre LEVEILLARD, Président de la Chambre régionale d’agriculture du Centre 13 avenue des Droits de l’Homme – 45921 ORLEANS Ce bullet in est produit à partir d’observations ponctuelles. Il donne une tendance de la situation",0,0,,BSV_Grandes_Cultures_Oleagineux_n_o27_20110517_JC_cle889882
27,la protection de leurs cultures.,0,0,,BSV_Grandes_Cultures_Oleagineux_n_o27_20110517_JC_cle889882
28,"Bulletin de santé du végétal - Auvergne n °29 du 25/08/2015 Betteraves Progression de la cercosporiose dans les parcelles infestées. A retenir Betteraves Etat de la végétation au 26 août Les pluies d’août ont perm is le redémarrage de la végétation et la reconstitution du bouquet foliaire des betteraves. Observations ravageurs Teigne Il présence de teigne sur 3 parcelles du réseau (GANNAT 12%, Entraigues 25% et Malintrat 90%). Rappelons que le seuil de nuisibilité est de 10% de plantes porteuses de chenilles. Noctuelles défoliatrices La présence de déjection ou de perforation du feuillage est constatée à Bas et Lezat sur",1,0,#chenille #teigne #noctuelle ,draaf.auvergne-rhone-alpes.agriculture.gouv.fr_IMG_pdf_BSV_grandes_cultures_N_29_du_25_08_15_cle03ef67
29,"27% des bette raves. Rappelons que le seuil de nuisibilité est de 50% de plantes avec présence de symptômes. …/... Bulletin édité sous la responsabilité de la Chambre Régionale d ’Agriculture d'Auvergne, rédigé par le Cetiom, Arvalis, le CTBL et les Chambres d ’Agriculture de l ’Allier, de la Haute-Loire , du Puy-de-Dôme en collaboration avec la Chambre d ’ Agriculture du Cantal, les Ets Cassier, Limagrain, Ets Chassin, Jeudy SA, Sica Bb, Sarl Bastin, les lycées de Marmilhat, Neuvy, Durdat-Larequille et Le Breuil/ Couze, Ets Combronde, Tardif, Tivagrain, Phytosem, Descreaux, Dodat, Coopaca, Thivat Venuat, Fredon, Agrisudest Centre, Altitude, Equation, Coop Eurea, SAS Trescarte, Agri Centre, le Ceta Val de Morge, le Ceta Limagne, Val Limagne.coop et des agriculteurs. Observations maladies foliaires Cercosporiose Sur 12 parcelles du réseau observées une progression de la maladie est notée : • une parcelle est indemne à ce jour (Artonne) • 3 parcelles ont entre 4 et 15% de feuillage touché (Gannat, Bas et Lezat, Mons, Bergonne) • 4 parcelles ont entre 20 et 50% de feuillage touché (Paray/Briailles, Riom, Entraigues et Antoingt) • 3 parcelles ont plus de 50% de feuillage touché (St-Beauzire 59%, Malintrat 88%, Les Martres/Morge 64%). Rappelons que le seuil de nuisibilité est de 20% après le 15 Août. La tolérance variétale permet de lim iter l’évolution dans le cas d ’arrachage après le 15 oc tobre. Ce BSV reprend des observations ponctuelles qui donnent des tendances régionales. La Chambre Régionale dégage toute",0,0,,draaf.auvergne-rhone-alpes.agriculture.gouv.fr_IMG_pdf_BSV_grandes_cultures_N_29_du_25_08_15_cle03ef67
30,"responsabilité quant aux décisions prises par les agriculteurs concernant la protection de leurs cultures. Action pilotée par le Ministère chargé de l’Agriculture, avec l’appui financier de l’Office National l’Eau et des Milieux Aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto. Directeur de Publication: Gilbert GUIGNAND, Président de la Chambre Régionale d’Agriculture Coordonnées référent: François Roudillon (CA 03) - froudillon @allier.chambagri.fr - Publication Hebdomadaire. Toute reproduction même partielle est soumise utorisation",0,0,,draaf.auvergne-rhone-alpes.agriculture.gouv.fr_IMG_pdf_BSV_grandes_cultures_N_29_du_25_08_15_cle03ef67
31,"Bulletin de santé du végétal ÉDITION CULTURES L ÉGUMIÈRES Poitou-Charentes En résumé : Numéro 131 Mercredi 23 juillet 2014 Directeur de publication : Luc SERVANT Président de la Chambre Régionale d’Agriculture de Poitou-Charentes Animateur Filière Cultures légumières : Jean-Michel LHOTE (ACPEL) Co-rédaction de Sandrina DEBOEVRE (ACPEL) Animateurs délégués : Sylvie SICAIRE (CA 16) Benoit VOELTZEL Thierry MASSIAS (CA 17) Marie GIRAULT (CA 86) MELON POMME DE TERRE PRIMEUR TOMATE abris froids en sol CAROTTE et CELERI POIREAU MÉTÉOROLOGIE PASSÉE : Bactériose : pas ou peu de sorties de taches ces derniers jours, mais des nécroses du feuillage et des taches",0,1,#bactériose ,BSV_Cultures_Legumieres_No131_cle84872b
34,pouce - Photo ACPEL Différentes manifestations de bactériose sur fruits : Tache évoluant en conservation (non visibles à la récolte) - Photo ACPEL Cladosporiose (Cladosporium cucumerinum) Évaluation du risque : le retour à des conditions plus sèches et surtout l’élévation des températures éloigne temporairement le risque de cladosporiose. Des taches de,0,1,#cladosporiose #bactériose ,BSV_Cultures_Legumieres_No131_cle84872b
35,"cladosporiose (apparues il une dizaine de jours) sont encore observables, mais à un niveau faible comparé à la bactériose. Malgré des et répétées (pluies favorables conditions températures fraîches), ce champignon a heureusement occasionné peu de dégâts. Avec des données climatiques de trois stations météorologiques, le modèle de prévision du risque Mildiou DGAL (sur Inoki®) indique un risque variable suivant la semaine de plantation. Sur le secteur de Loudun, le modèle de prévision annonce un risque d’apparition de foyers jusqu’aux plantations de la semaine 23. Sur les autres secteurs (côte Atlantique et secteur de Mirebeau), le risque semble très légèrement moindre. Mildiou (Pseudoperonospora cubensis) : Évaluation du risque : sans prise en compte de tous les paramètres de la parcelle, le modèle annonce un risque pour les plantations jusqu’à tout début juin. De plus, l’observation de premiers foyers en Charente-Maritime doit conduire à la vigilance. Plusieurs signalements de Verticiliose sont notés. Cette maladie vasculaire occasionne des jaunissements",0,1,#cladosporiose #bactériose #mildiou ,BSV_Cultures_Legumieres_No131_cle84872b
36,"de feuilles et des affaissements des plantes. À ne pas confondre cette année, avec des jaunissements de feuilles liées à des faibles enracinements. Verticiliose (Verticillium dahliae) : Évaluation du risque : confirmation du risque d’expression importante cette année. Lien à la parcelle et au climat de l’année. Fusariose (Fusarium oxysporum sp. melonis) : Dans une parcelle à risque, les premiers symptômes de fusariose viennent d’être observés. L’élévation des températures sollicite les plantes (alimentation en eau), les plantes atteintes flétrissent vite. L’évolution semble rapide. Évaluation du risque : présence liée à très l’historique de la parcelle. L’expression est variable en fonction du niveau de résistance des variétés. Les BSV sont disponibles en accès direct sur le site  (rubrique : Nos publications - Bulletin de santé du végétal) ou par abonnement en ligne gratuit sur le site  Présence de gommose caractéristique - Photo ACPEL BSV CULTURES LÉGUMIÈRES DE PLEIN CHAMP Région Poitou-Charentes Bulletin n° 131 du 23 juillet 2014 Page 3 / 8 Grillure physiologique Évaluation du risque : lien à la variété et à la parcelle. Accentuation liée au climat fluctuant de l’année. Des manifestions de grille physiologique sont observées sur des parcelles en approche de la récolte. La sensibilité de certaines variétés, de faibles enracinements cette année expliquent ce phénomène physiologique.",0,1,#fusariose ,BSV_Cultures_Legumieres_No131_cle84872b
37,"Taupins (Agriotes sordidus et autres) Des perforations de fruits à l’approche de la récolte sont observées sur certaines parcelles et secteurs. Sur une parcelle notée, les dégâts sont significatifs (20% des fruits sont non commercialisables). Évaluation du risque : lié aux populations présentes dans le sol et des stades larvaires plus ou moins voraces. Pucerons (Aphis gossypii et autres) : La pression des pucerons sur melon (comme sur d’autres cultures) est importante cette année. La détection précoce des foyers est primordiale pour assurer un contrôle efficace. Évaluation du risque : en raison du contexte de l’année (des pucerons sur de nombreuses autres cultures), une surveillance de ce parasite est nécessaire pour repérer les premiers foyers avant leur dissémination. Perforations des fruits Photo ACPEL Photo ACPEL Les BSV sont disponibles en accès direct sur le site  (rubrique : Nos publications - Bulletin de santé du végétal) ou par abonnement en",1,0,#taupin #puceron ,BSV_Cultures_Legumieres_No131_cle84872b
38,"ligne gratuit sur le site  BSV CULTURES LÉGUMIÈRES DE PLEIN CHAMP Région Poitou-Charentes Bulletin n° 131 du 23 juillet 2014 Page 4 / 8 POMME DE TERRE PRIMEUR 1 parcelle suivie et retours de suivis techniques Mildiou (Phytophtora infestans) : Évaluation du risque : Il est nécessaire de poursuivre la Le climat de l’année (épisodes orageux) est favorable à surveillance. cette maladie présente tôt cette année. Doryphore (Leptinotarsa decemlineata) : La fréquence d’observation sur les parcelles continue à être élevée particulièrement dans les parcelles en AB. L’insecte est présent à tous les stades (adultes, œufs, larves). Évaluation du risque : les populations importantes, le risque reste élevé. sont Photo ACPEL Site : TOMATE en sol sous abris froid 3 parcelles de piégeage et 2 parcelles de suivi Mineuse sud-américaine de la tomate (Tuta",1,1,#mineuse #doryphore #mildiou ,BSV_Cultures_Legumieres_No131_cle84872b
39,"Absoluta) Nombre de mineuses pour 1 piège delta relevé/parcelle Sur les sites avec retour d’information, le piégeage est faible, mais plutôt en augmentation vis-à-vis des semaines précédentes. En Charente-Maritime, depuis maintenant plus d’un mois, on observe des feuilles et des fruits minés. En Charente, l’insecte semble être peu présent. Évaluation du risque : en Charente-Maritime, pression semble ré-augmenter. Mesures prophylactiques ou techniques alternatives : Enlever les feuilles minées et les maintenir en milieu confiné. la Les BSV sont disponibles sur le site  (rubrique : Nos publications - Bulletin de santé du végétal) BSV CULTURES LÉGUMIÈRES DE PLEIN CHAMP Région Poitou-Charentes Bulletin n° 131 du 23 juillet 2014 Page 5 / 8 Mildiou (Phytophthora infestans) De premiers foyers ont été observés en culture de plein-champ. Les conditions météorologiques qui perdurent sont favorables à ce champignon. Évaluation du risque : avec des pluies orageuses successives et des températures favorables, le risque est devenu les cultures de plein important pour champ. Mildiou observé sous abri Photo Beno ît VOELTZEL – CA17 Pucerons",1,1,#mineuse #puceron #mildiou ,BSV_Cultures_Legumieres_No131_cle84872b
40,"(diverses espèces) Constante cette année : la fréquence d’observation de pucerons sur tomates est élevée, ce qui est très inhabituel. Sur certaines exploitations de Charente- Maritime, la pression est très forte. Évaluation du risque : la pression de ce parasite est élevée cette année, le risque reste important. Présence d ’ailés et d ’aptères Photo Beno ît VOELTZEL – CA17 Noctuelle (Helicoverpa armigera) Sur plusieurs sites en Charente-Maritime, la noctuelle Helicoverpa armigera occasionne des dégâts sur fruits (environ 10 % des fruits atteints).",1,0,#puceron #noctuelle ,BSV_Cultures_Legumieres_No131_cle84872b
41,"Évaluation du risque : à surveiller de près en raison des dégâts potentiels. La pression de ce parasite augmentera probablement ces prochaines semaines. Photo Beno ît VOELTZEL – CA17 Eléments de biologie (source ITAB : les Lépidoptères ravageurs en légumes) : Les premiers vols de ce papillon nocturne, surtout présent dans le Sud de la France, sont détectés à partir de mai et se poursuivent jusqu’en octobre (3 générations successives). femelle, de couleur marron et de 4 cm La d’envergure, pond jusqu’à 4000 oeufs déposés isolément sur les jeunes pousses, à la face inférieure des feuilles situées près des fleurs. Helicoverpa a généralement 6 stades larvaires : au 1er stade larvaire, les chenilles",1,0,#chenille #lépidoptères ,BSV_Cultures_Legumieres_No131_cle84872b
42,"sont peu visibles car translucides et de mm de longueur ; au dernier stade, elles mesurent cm, et sont de couleur jaune à verte. Au terme de leur développement, elles s’enfoncent en profondeur dans le sol pour se transformer en nymphes qui rentrent en diapause jusqu’au printemps. C’est une des espèces les plus nuisibles sous bris, essentiellement sur tomate, poivron,",0,0,,BSV_Cultures_Legumieres_No131_cle84872b
46,des larves de cicadelles et surtout sur,1,0,#cicadelle ,BSV_Cultures_Legumieres_No131_cle84872b
47,des acariens tétranyques. Évaluation du risque : le retour de conditions plus sèches sera encore plus favorable au développement des populations de cet insecte.,1,0,#acarien #tétranyque ,BSV_Cultures_Legumieres_No131_cle84872b
